track_id,track_name,track_duration_ms,artists,track_popularity,album_id,album_name,album_genres,album_label,album_popularity
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),180386,Tyler, The Creator;Kali Uchis,96,2nkto6YNI4rUYTLqEwWJ3o,Flower Boy,,Columbia,89
3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,212241,Jimin,94,4xc3Lc9yASZgEJGH7acWMB,FACE,,BIGHIT MUSIC,91
1daDRI9ahBonbWD8YcxOIB,Angels Like You,196453,Miley Cyrus,94,5BRhg6NSEZOj0BR6Iz56fR,Plastic Hearts,,RCA Records Label,89
1p80LdxRV74UKvL8gnD7ky,Blank Space,231826,Taylor Swift,83,2QJmrSgbdM35R67eoGQo4j,1989,,Big Machine Records, LLC,85
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),175238,David Guetta;Bebe Rexha,95,7M842DMhYVALrXsw3ty7B3,I'm Good (Blue),,Parlophone UK,87
741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],109750,Nicki Minaj;Ice Spice;Aqua,84,5CM66hwjlbZ06LhONWXOAs,Barbie World (with Aqua) [From Barbie The Album],,Atlantic Records,76
2LBqCSwhJGcFQeTHMVGwy3,Die For You,260253,The Weeknd,92,4AdZV63ycxFLF6Hcol0QnB,Starboy,,Universal Republic Records,87
5rurggqwwudn9clMdcchxT,Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie),219453,Metro Boomin;Swae Lee;NAV;A Boogie Wit da Hoodie,94,1bwbZJ6khPJyVpOaqgKsoZ,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),,Republic Records,98
1haJsMtoBhHfvuM7XWuT3W,El Azul,187225,Junior H;Peso Pluma,95,2szyIt0ulaHnKxxyrlUCDB,El Azul,,WEA Latina,87
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,215466,The Weeknd;Playboi Carti;Madonna,66,5O0zUvdnJr0RbWzLFneN2i,Popular (Music from the HBO Original Series),,XO / Republic Records,58
4lIxdJw6W3Fg4vUIYCB0S5,Style,231000,Taylor Swift,83,2QJmrSgbdM35R67eoGQo4j,1989,,Big Machine Records, LLC,85
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,148485,OneRepublic,95,04PEOM6kIEeq9lRp1asNP2,I Ain’t Worried (Music From The Motion Picture "Top Gun: Maverick"),,Interscope Records,86
3JvKfv6T31zO0ini8iNItO,Another Love,244360,Tom Odell,93,0Gf1yE895FKK4YWVRuAeg8,Long Way Down (Deluxe),,ITNO/Columbia,86
4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,232857,The Weeknd;Ariana Grande,88,35dut3ICqF3NEDkjxfzJJ1,Starboy (Deluxe),,XO / Republic Records,81
7MXVkk9YMctZqd1Srtv4MB,Starboy,230453,The Weeknd;Daft Punk,94,2ODvWsOgouMbaA5xf0RkJe,Starboy,,Universal Republic Records,94
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,182160,Lewis Capaldi,91,5658aM19fA3JVwTK6eQX70,Divinely Uninspired To A Hellish Extent,,Vertigo Berlin,88
4JdSXF2p71cr8uCY3UiJM0,Frágil,160517,Yahritza Y Su Esencia;Grupo Frontera,93,6iZUwDpa27jeAvKxs8UYI2,Frágil,,Lumbre Music/Columbia,85
609E1JCInJncactoMmkDon,BESO,194543,ROSALÍA;Rauw Alejandro,96,50uChhk7AKkzDKytDixjYW,RR,,Columbia Records/Duars Entertainment/Sony Music Latin,88
0fABszUFNbNq9IW503Gj8v,Tá OK,92093,DENNIS;MC Kevin o Chris,92,41iAYv4hU3BL86F0sOTvqp,Tá OK,,Sony Music Entertainment,83
2SOvWt6igzXViIjIiWNWEP,BABY HELLO,222461,Rauw Alejandro;Bizarrap,84,5KDgQ8sKzlThX02A5urLj0,BABY HELLO,,Sony Music Latin/Duars Entertainment,75
26b3oVLrRUaaybJulow9kz,People,184791,Libianca,94,5Hmh6N8oisrcuZKa8EY5dn,People,,5K Records Limited,86
5IAESfJjmOYu7cHyX557kz,Take Two,229953,BTS,95,3jeQDa9OFZ6GndLindHx3k,Take Two,,BIGHIT MUSIC,87
