track_id,track_name,track_duration_ms,artists,track_popularity,album_id,album_name,album_genres,album_label,album_popularity
1Hs1uUl8o2VtDp1DABFq0O,Los del Espacio,338000,LIT killah;Tiago PZK;Maria Becerra;Duki;Emilia;Rusherking;Big One;FMK,94,6DVg3IJPFr7JZDDXYcyPbU,Los del Espacio,,WEA Latina,86
1p80LdxRV74UKvL8gnD7ky,Blank Space,231826,Taylor Swift,84,2QJmrSgbdM35R67eoGQo4j,1989,,Big Machine Records, LLC,85
4JdSXF2p71cr8uCY3UiJM0,Frágil,160517,Yahritza Y Su Esencia;Grupo Frontera,94,6iZUwDpa27jeAvKxs8UYI2,Frágil,,Lumbre Music/Columbia,85
2LBqCSwhJGcFQeTHMVGwy3,Die For You,260253,The Weeknd,92,4AdZV63ycxFLF6Hcol0QnB,Starboy,,Universal Republic Records,87
4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,232857,The Weeknd;Ariana Grande,88,35dut3ICqF3NEDkjxfzJJ1,Starboy (Deluxe),,XO / Republic Records,81
3RA55zrRkyPK8Fd86hrMy8,LUNA,163551,Peso Pluma;Junior H,73,4jox3ip1I39DFC2B7R5qLH,GÉNESIS,,Double P Records,80
4lIxdJw6W3Fg4vUIYCB0S5,Style,231000,Taylor Swift,83,2QJmrSgbdM35R67eoGQo4j,1989,,Big Machine Records, LLC,85
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),175238,David Guetta;Bebe Rexha,95,7M842DMhYVALrXsw3ty7B3,I'm Good (Blue),,Parlophone UK,87
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,148485,OneRepublic,95,04PEOM6kIEeq9lRp1asNP2,I Ain’t Worried (Music From The Motion Picture "Top Gun: Maverick"),,Interscope Records,86
0fABszUFNbNq9IW503Gj8v,Tá OK,92093,DENNIS;MC Kevin o Chris,92,41iAYv4hU3BL86F0sOTvqp,Tá OK,,Sony Music Entertainment,84
7MXVkk9YMctZqd1Srtv4MB,Starboy,230453,The Weeknd;Daft Punk,94,2ODvWsOgouMbaA5xf0RkJe,Starboy,,Universal Republic Records,94
4daEMLSZCgZ2Mt7gNm2SRa,Flooded The Face,192727,Lil Uzi Vert,82,2ua5bFkZLZl1lIgKWtYZIz,Pink Tape,,Generation Now/Atlantic,91
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,215466,The Weeknd;Playboi Carti;Madonna,79,5O0zUvdnJr0RbWzLFneN2i,Popular (Music from the HBO Original Series),,XO / Republic Records,70
3JvKfv6T31zO0ini8iNItO,Another Love,244360,Tom Odell,93,0Gf1yE895FKK4YWVRuAeg8,Long Way Down (Deluxe),,ITNO/Columbia,86
3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,162637,Manuel Turizo,88,7ubO2LZJZFpyhiWMZkRwcH,2000,,Sony Music Latin/La Industria,81
3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,140017,David Guetta;Anne-Marie;Coi Leray,94,327tc3Eruk1HP1w62iqROy,Baby Don't Hurt Me,,Parlophone UK,85
741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],109750,Nicki Minaj;Ice Spice;Aqua,87,5CM66hwjlbZ06LhONWXOAs,Barbie World (with Aqua) [From Barbie The Album],,Atlantic Records,78
